,x,y,frame,gfp_intensity,mcy_intensity
100,379,665,7,183.19885958660015,105.9080541696365
101,392,501,7,109.42940905955392,186.4306737180961
102,417,727,7,179.18866787221216,106.042194092827
103,545,583,7,166.1959299142179,121.28618361014783
104,832,253,7,130.65363865243975,112.37213763337729
105,883,123,7,111.10710699542564,174.29354010933838
106,909,428,7,151.24472573839662,152.28691983122363
107,980,381,7,192.99122876333465,106.64512050572895
108,1021,489,7,171.61326442721793,105.89528731389197
109,1063,1003,7,107.75292740046838,121.9168618266979
110,1153,293,7,107.87026691495966,159.78373680943514
111,208,775,8,163.81805768902544,127.7531148660181
112,219,587,8,111.09295600082628,181.82792811402604
113,366,770,8,183.68188377279287,105.909484454939
114,380,663,8,183.15589804386485,105.8877296976882
115,391,502,8,109.43716161732519,186.43808317014168
116,420,725,8,179.46662830840046,106.05926352128884
117,544,580,8,166.87279970353902,121.85603112840467
118,832,254,8,131.68262604280014,110.30999879095636
119,883,123,8,111.3734846815076,170.5679964734406
120,907,430,8,150.31720430107526,150.90994623655914
121,978,380,8,192.21912785708713,106.80248069272174
122,1020,490,8,171.62599242701845,105.85086112128985
123,1063,1006,8,107.87766163375919,121.9504452187379
124,1151,293,8,107.89842615012107,166.58801452784505
125,206,776,9,164.068968456948,128.26342710997443
126,218,588,9,111.29660753190164,181.74395684199607
127,366,766,9,183.41485459785173,105.9498297091957
128,380,662,9,183.54416835096896,105.97301153251694
129,393,506,9,109.40820066429963,186.43477264918107
130,422,723,9,178.31923076923076,106.30824175824176
131,542,577,9,167.42401779095627,122.52872498146776
132,831,250,9,132.68586903003447,109.12961595273265
133,884,125,9,111.75210363153234,166.75453941541187
134,909,430,9,151.74193548387098,152.95371669004209
135,979,379,9,192.46332015810276,106.92434782608696
136,965,457,9,122.875,116.2
137,1021,491,9,171.55830778663397,105.89368485591662
138,1062,1008,9,107.85084466419448,122.0984754841368
139,1154,291,9,107.89205505916445,171.6423569186187
140,204,775,10,164.83596054960802,128.54657337941498
141,218,587,10,111.51917525773196,180.06061855670103
142,366,763,10,183.84568223323768,105.92094964779547
143,380,660,10,184.02832996071896,105.89477443161529
144,395,507,10,109.43729792147806,186.33290993071594
145,423,721,10,178.42787944025835,106.31862217438106
146,543,577,10,168.6280193236715,123.03613898179115
147,831,249,10,133.7372839506173,108.35864197530864
148,792,226,10,117.61290322580645,114.12903225806451
149,886,121,10,112.25923453493547,161.32009345794393
150,909,426,10,152.5015105740181,154.4214501510574
151,978,375,10,192.76653998293648,107.11626463972698
152,1021,489,10,172.2830922572019,105.86945423605202
153,1063,1005,10,107.75444685466377,121.87809110629067
154,1154,286,10,107.84071117561683,174.0702709240445
155,202,777,11,164.83354393058715,128.99780978856035
156,219,587,11,111.72058671624832,179.33539923561617
157,363,764,11,183.58806199564492,106.01857307544512
158,379,660,11,184.0616771438738,105.97687107104733
159,398,507,11,109.49418334108888,186.66205211726384
160,420,722,11,178.84083424807903,106.27167947310647
161,542,580,11,168.99165352870259,123.66372994528425
162,831,249,11,134.3530053320407,107.93940862821134
163,886,121,11,112.85728964493664,156.33143052859916
164,908,430,11,149.38140161725067,150.59029649595686
165,978,372,11,191.68181122839223,107.29860792412421
166,1021,490,11,171.82235505080692,105.91285116557083
167,1064,1000,11,107.90959965561774,121.572535514421
168,1153,281,11,107.85067766647025,174.6005892751915
169,204,774,12,165.7804591922239,129.3714596949891
170,155,597,12,121.11111111111111,117.22222222222223
171,218,587,12,112.21170930108103,178.37846516108317
172,365,763,12,184.08840561060353,105.90348732466865
173,380,659,12,184.54522909777987,105.87305148795465
174,403,505,12,109.4554340237375,186.01803583895742
175,421,721,12,178.640108401084,106.25636856368564
176,543,584,12,169.89979682305136,124.04562246028814
177,833,242,12,135.3606131783904,107.72580046977377
178,787,213,12,119.2463768115942,114.85507246376811
179,886,122,12,113.54262238959261,149.8360150633345
180,912,428,12,151.28529411764706,152.49411764705883
181,979,367,12,192.48794994592924,107.56866985941603
182,1022,490,12,171.89629096146922,105.81910935061818
183,1062,1005,12,107.83137432188065,121.7246835443038
184,1155,278,12,107.78566433566434,173.6974358974359
185,205,773,13,166.10876609887828,129.72314083921896
186,220,587,13,112.48750670241287,175.3825201072386
187,365,762,13,184.46888398077172,105.87241782512667
188,380,657,13,185.04544373066858,105.9051867713538
189,406,505,13,109.47796334957087,185.9688007422872
190,422,721,13,180.50711159737418,106.01039387308533
191,544,582,13,170.62548369264786,124.49677538234752
192,832,244,13,135.96397379912665,107.52025715672004
193,789,215,13,119.08148148148148,115.02962962962962
194,889,118,13,114.21500990560541,143.00815755739424
195,916,429,13,153.73684210526315,156.18421052631578
196,981,367,13,192.80204883308943,107.76592467072325
197,1022,490,13,172.19223859144807,105.8069229847886
198,1061,1009,13,107.82817140432753,121.41620704285108
199,1156,275,13,107.83207279602931,173.75230441975893
200,206,772,14,166.39742854803046,130.2008025550733
201,158,583,14,120.14492753623189,114.92753623188406
202,219,582,14,112.79020443861376,172.9889581283481
203,365,760,14,184.7138047138047,105.88396788396788
204,383,656,14,185.3499168843505,105.92650201852291
205,412,503,14,109.47561116904183,185.9680222453945
206,424,720,14,179.69213973799125,106.17576419213974
207,541,581,14,171.07190388170056,125.28539741219963
208,830,246,14,137.0090241848153,107.4054867043677
209,790,217,14,118.24509803921569,114.82843137254902
210,890,118,14,114.94060563544954,136.72594411317667
211,904,446,14,122.23188405797102,114.0
212,918,429,14,154.77142857142857,157.78487394957983
213,983,366,14,193.29173771508295,108.01278871492792
214,1022,491,14,172.33047365877235,105.85572740454326
215,1062,1007,14,107.83347350714887,121.36711522287636
216,1084,467,14,121.37254901960785,114.37254901960785
217,1155,271,14,107.86376021798365,173.8857955218576
218,206,770,15,166.7108744756373,130.41271377863828
219,217,581,15,113.36673542503529,167.47052437303225
220,366,757,15,184.40532959326788,105.88435547622083
221,386,655,15,186.61499877660876,105.86616099828726
222,414,504,15,109.44602404068424,185.1359223300971
223,427,718,15,179.23516603157321,106.2896026129559
224,542,582,15,172.1344846591953,125.559434135587
225,781,217,15,118.64556962025317,115.20253164556962
226,832,244,15,137.84591961023142,107.27551766138855
227,791,214,15,118.08938547486034,114.40223463687151
228,891,120,15,115.93620088910248,130.2471464616124
229,904,443,15,122.4375,113.41666666666667
230,923,431,15,152.56045751633988,154.8251633986928
231,984,363,15,193.72427665170974,108.36182887204085
232,1024,490,15,171.93226297902262,105.86686979960155
233,1061,1007,15,107.77754056362083,121.27070879590094
234,1156,267,15,107.80892167193537,173.19985950122935
235,204,769,16,166.55334030066726,131.15965913658655
236,215,583,16,113.59746862829944,162.32377758546085
237,366,758,16,184.10892354896447,105.92636154436205
238,385,656,16,185.9240736255752,105.9113586824897
239,414,505,16,109.48907697586641,186.48450188722407
240,426,720,16,180.53807390817468,106.02015677491602
241,539,584,16,172.35164431379755,126.39555392246923
242,782,220,16,118.22077922077922,116.03896103896103
243,831,242,16,138.1387605166489,107.39732195757792
244,893,115,16,116.6732177734375,124.5367431640625
245,921,432,16,149.9165402124431,151.69954476479515
246,984,361,16,193.1706510877085,108.73956491659621
247,1025,491,16,172.14424111948333,105.89905513694534
248,1064,1007,16,107.87017834923269,121.49605972625467
249,1088,467,16,119.83333333333333,115.74074074074075
250,1156,262,16,107.83767675587238,171.97943204394062
251,203,769,17,166.6982517761635,131.0451025784306
252,213,581,17,114.25139298590626,154.14377799628537
253,367,759,17,184.21610824742268,105.85605670103092
254,386,656,17,186.54157575757577,105.86230303030302
255,419,506,17,109.47002091564025,185.50801766209622
256,427,722,17,181.81623449830892,105.94757609921082
257,537,588,17,173.07633727864942,126.4877511698321
258,782,220,17,119.0,115.24358974358974
259,831,238,17,138.73123316547606,107.2483897411875
260,894,117,17,117.61611492816989,118.95840099937539
261,923,432,17,148.75501432664757,149.4025787965616
262,985,362,17,192.0035863717872,108.99133293484758
263,1028,491,17,171.4567651262506,105.9352072415436
264,1066,1003,17,107.9013590530469,121.25076720736519
265,1156,261,17,107.85508257734357,171.98895091881832
266,201,769,18,167.312469753186,131.54081303436038
267,215,578,18,114.90430517711172,145.94561307901907
268,367,759,18,184.0373868046572,105.9248382923674
269,387,656,18,187.25243664717348,105.83089668615985
270,422,504,18,109.53535473173042,185.62335662679143
271,428,722,18,180.68021978021977,106.10604395604396
272,538,590,18,173.4602047403855,127.00175228257862
273,781,219,18,117.80952380952381,115.93650793650794
274,831,236,18,139.8645099677689,106.99271815685806
275,792,210,18,118.8232558139535,114.87906976744186
276,893,119,18,118.56078331637843,114.57057477110885
277,924,433,18,147.9641379310345,149.1103448275862
278,985,361,18,191.88953186438164,109.23161955634691
279,1025,493,18,171.39682918107044,105.86041244486827
280,1065,1005,18,107.82828739267963,121.23587889742431
281,1090,465,18,119.175,114.65
282,1156,259,18,107.87714574217435,171.29956243688994
283,201,768,19,167.8985022307202,131.68164435946463
284,220,579,19,115.8058080248282,137.09022389714033
285,369,759,19,184.85848318999217,105.93692989314569
286,388,658,19,187.9608918128655,105.79922027290448
287,424,506,19,109.50540572650588,185.45526909825352
288,430,722,19,183.2459200900394,105.9251547552054
289,539,590,19,174.6835103926097,127.51602771362586
290,834,235,19,140.28465955701395,107.17696003750146
291,896,122,19,119.63797634691196,111.39329829172142
292,927,435,19,150.39425981873111,151.4214501510574
293,987,363,19,193.87655907476,109.5541613122685
294,1028,494,19,172.34856318384033,105.82625946855838
295,1070,1005,19,107.63396575659416,121.02961591855622
